Breed,2016 Rank,2015 Rank,2014 Rank,2013 Rank
Labrador Retriever,1,1,1,1
German Shepherd Dog,2,2,2,2
Golden Retriever ,3,3,3,3
Bulldog,4,4,4,5
Beagle,5,5,5,4
French Bulldog,6,6,9,11
Poodle,7,8,7,8
Rottweiler,8,9,10,9
Yorkshire Terrier,9,7,6,6
Boxer,10,10,8,7
Pointer (German Shorthaired),11,11,12,13
Siberian Huskie,12,12,13,14
Dachshund,13,13,11,10
Great Dane,14,15,15,16
Doberman Pinscher,15,14,14,12
Australian Shepherd,16,17,18,20
Miniature Schnauzer,17,16,16,17
Pembroke Welsh Corgi,18,20,22,24
Cavalier King Charles Spaniel,19,18,19,18
Shih Tzu,20,19,17,15
Boston Terrier,21,22,23,23
Pomeranian,22,21,20,19
Havanese,23,24,25,25
Shetland Sheepdog,24,23,21,21
Brittany,25,26,27,30
English Springer Spaniel,26,27,28,28
Bernese Mountain Dog,27,29,32,32
Mastiff,28,25,26,26
Cocker Spaniel,29,30,30,29
Chihuahua,30,28,24,22
Vizsla,31,32,34,34
Pug,32,33,33,31
Maltese,33,31,29,27
Weimaraner,34,34,35,33
Newfoundland,35,37,37,37
Miniature American Shepherd,36,,,
Collie,37,36,36,35
Border Collie,38,38,40,44
Basset Hound,39,39,42,41
Cane Corso,40,35,48,50
West Highland White Terrier,41,41,38,36
Rhodesian Ridgeback,42,40,39,39
Chesapeake Bay Retriever,43,42,41,43
Shiba Inu,44,45,47,46
Bichons Frise,45,44,44,40
Akita,46,46,46,45
Belgian Malinoi,47,51,60,60
Bullmastiff,48,43,45,40
St. Bernard,49,50,51,47
Soft Coated Wheaten Terrier,50,47,49,51
Portuguese Water Dog,51,52,52,49
Bloodhound,52,49,50,48
Papillon,53,48,43,38
Australian Cattle Dog,54,56,55,58
Airedale Terriers,55,53,57,56
English Cocker Spaniel,56,60,62,62
Bull Terrier,57,55,53,52
Scottish Terrier,58,58,59,55
Alaskan Malamute,59,54,54,57
Whippets,60,57,56,59
Chinese Shar-Pei,61,59,58,54
Dalmatians,62,62,66,64
Dogues de Bordeaux,63,63,63,65
Pointers (German Wirehaired),64,68,71,71
Samoyeds,65,61,68,67
Wirehaired Pointing Griffons,66,66,76,80
Great Pyrenees,67,67,75,69
Miniature Pinschers,68,64,61,53
Cardigan Welsh Corgis,69,76,78,75
Cairn Terrier,70,70,69,61
Lhasa Apso,71,65,67,63
Italian Greyhound,72,71,74,66
Irish Wolfhound,73,69,72,73
Chow Chow,74,73,70,70
Old English Sheepdog,75,74,77,78
Irish Setter,76,72,73,72
Chinese Crested,77,75,65,68
Greater Swiss Mountain Dog,78,78,80,74
Giant Schnauzer,79,81,83,83
Coton de Tulear,80,85,31,
American Staffordshire Terrier,81,77,84,76
Staffordshire Bull Terrier,82,79,79,79
Bouviers des Flandre,83,83,81,82
Anatolian Shepherd Dog,84,92,94,93
Standard Schnauzer,85,91,90,90
Border Terrier,86,82,85,81
Nova Scotia Duck Tolling Retrievers,87,99,99,97
Basenji,88,87,86,85
Flat-Coated Retrievers,89,86,92,94
Russell Terrier,90,104,105,102
Tibetan Terrier,91,90,88,88
Keeshonden,92,84,87,86
Pekingese,93,80,82,77
Norwegian Elkhound,94,88,103,103
Leonberger,95,93,104,98
